year,player,pos,college,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
2022.0,Aaron Shahriari,,Florida Atlantic,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Sterling,,South Carolina,12.0,,,,,10.0,,,,4.0,1.0,2.5,1.0,15.0,27.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Turner,,Connecticut,0.0,,1.0,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,0.0,232.0,33.0,1.0,0.0,22.0,,0.0,254.0,1.0,10.0,0.0,232.0,33.0,,0.0,22.0,,0.0,254.0,1.0,0.0
2022.0,Aaron Willis,,Tennessee,1.0,,,,,10.0,,,,0.5,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Wofford,,Western Michigan,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Young,,Florida Atlantic,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Young,,Rutgers,11.0,,0.0,,,10.0,,,,0.0,0.0,0.0,1.0,8.0,19.0,,,,10.0,,,,1.0,10.0,1.0,75.0,12.0,56.0,5.0,205.0,,6.0,280.0,1.0,10.0,1.0,75.0,12.0,,5.0,205.0,,6.0,280.0,1.0,0.0
2022.0,Abdul Adams,,Syracuse,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,2.0,3.0,,,,10.0,,,,1.0,10.0,0.0,6.0,3.0,13.0,0.0,56.0,,0.0,62.0,1.0,10.0,0.0,6.0,3.0,,0.0,56.0,,0.0,62.0,1.0,0.0
2022.0,Abdur-Rahmaan Yaseen,,Purdue,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,0.0,93.0,5.0,,,,,,,1.0,10.0,0.0,93.0,5.0,,,,,,,1.0,0.0
2022.0,Abe Anderson,,Tulsa,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Abraham Alce,,Louisiana Monroe,,,0.0,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,,,,15.0,2.0,17.0,,,,1.0,10.0,,,,,2.0,17.0,,,,1.0,0.0
2022.0,Abraham Beauplan,,Marshall,67.0,,,,,10.0,,,,11.0,0.0,2.5,1.0,43.0,110.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Abraham Camara,,TCU,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,2.0,2.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Abraham Delfin,,Louisiana Tech,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Abraham Lucas,,Washington State,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,2.0,3.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Abraham Montano,,Fresno State,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Abram Smith,,Baylor,,,0.0,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,0.0,75.0,13.0,257.0,12.0,1601.0,,12.0,1676.0,1.0,10.0,0.0,75.0,13.0,,12.0,1601.0,,12.0,1676.0,1.0,0.0
2022.0,Abule Abadi-Fitzgerald,,Kentucky,8.0,,,,,10.0,,,,2.5,0.0,2.5,1.0,5.0,13.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
