playerId,player,college,category,statType,stat
4362191,Jaylon Hutchings,Texas Tech,defensive,TFL,5.5
4427813,Desmond Little,LSU,defensive,TD,0
4686204,Xavier McDonald,Navy,defensive,QB HUR,0
4602216,Omari Walker,Arkansas State,rushing,LONG,0
4430834,Jalen McMillan,Washington,defensive,TFL,0
4240177,Harrison Taylor,Western Michigan,fumbles,LOST,0
4432223,Tyler Grubbs,Louisiana Tech,fumbles,FUM,0
4429511,SirVocea Dennis,Pittsburgh,interceptions,YDS,50
4428209,Ricky Pearsall,Arizona State,passing,YPA,29.5
4426844,Elijah Higgins,Stanford,receiving,REC,44
4362484,Bryson Jackson,North Texas,defensive,PD,0
4426920,Tre'Shaun Clark,Liberty,defensive,SOLO,22
4578142,Julian Diaz,Nevada,punting,In 20,12
4250360,Bailey Zappe,Western Kentucky,passing,ATT,686
4363101,Eric Garror,Louisiana,interceptions,TD,0
4690143,LaJohntay Wester,Florida Atlantic,puntReturns,TD,0
4595345,Isaac Walker,Georgia Southern,defensive,SOLO,1
4036876,Jack Snyder,San José State,defensive,TD,0
4433972,Latrell McCutchin,Oklahoma,defensive,QB HUR,1
4360403,Gunnar Holmberg,Duke,rushing,YPC,1.9
4432242,J.D. Head,Louisiana Tech,fumbles,LOST,0
4362478,Emari Demercado,TCU,receiving,TD,0
4697151,Corey Collins,Air Force,defensive,PD,0
-6965, Team,Notre Dame,rushing,YDS,-19
4362484,Bryson Jackson,North Texas,rushing,LONG,11
4691041,Raiheem Olalekan,UMass,fumbles,LOST,0
4431573,Smael Mondon Jr.,Georgia,defensive,QB HUR,0
4602646,Dylan Hazen,Wake Forest,defensive,TFL,0
4567246,Snoop Conner,Ole Miss,receiving,LONG,14
4373466,Halid Djibril,Washington State,defensive,TD,0
4360136,Warren Saba,East Carolina,defensive,SACKS,0
4241724,DK Billingsley,Troy,rushing,CAR,9
4243369,Marquavius Weaver,Memphis,receiving,LONG,19
4426438,Isaiah Hazel,Maryland,defensive,QB HUR,0
4428543,Connor Soelle,Arizona State,defensive,TD,0
4373471,Brennan Jackson,Washington State,fumbles,REC,1
4360233,Jacob Copeland,Florida,defensive,SACKS,0
4429895,Latrell Jean,Florida Atlantic,defensive,QB HUR,0
4893657,Gavin Wimsatt,Rutgers,passing,INT,2
4597005,Marcus Bradley,Vanderbilt,defensive,PD,0
4372413,Miles Battle,Ole Miss,receiving,REC,3
4370342,Koby Cumberlander,Marshall,defensive,TOT,41
4361649,Amechi Uzodinma,Ball State,defensive,TD,0
4576186,Trevor Borland,Buffalo,kickReturns,TD,0
4683188,Michael Green,Virginia,defensive,PD,0
4431028,Kaedric Cobbs,UT San Antonio,rushing,TD,0
4430681,Jared Wayne,Pittsburgh,passing,YPA,12
4432757,Evan Pryor,Ohio State,rushing,LONG,16
4370790,Bobby Haskins,Virginia,receiving,LONG,0
4426689,Ulysses Bentley IV,SMU,fumbles,REC,0
4710344,Titus Mokiao-Atimalala,UCF,kickReturns,LONG,37
4429053,A.J. Henning,Michigan,puntReturns,AVG,9.1
4362889,Matt Harmon,Kent State,interceptions,TD,0
4692921,Clayton Senior III,Florida International,defensive,PD,0
4261074,Cade Sutherland,South Alabama,puntReturns,LONG,7
4686377,Amauri Pesek-Hickson,Kansas,rushing,YDS,215
4589218,Aaron Dumas,New Mexico,defensive,QB HUR,0
4361970,Alan Tisdale,Virginia Tech,defensive,SOLO,44
4037293,Lucas Johnson,San Diego State,passing,TD,12
4035711,Jared Sparks,Louisiana Monroe,receiving,YDS,336
4569181,Kyle Maxwell,Louisiana Tech,kickReturns,YDS,0
4373813,Spencer Webb,Oregon,defensive,QB HUR,0
4879921,Brian Burton,Army,defensive,SOLO,2
4035857,Cameron Goode,California,fumbles,FUM,0
4429717,Tyler Guidry,Louisiana,defensive,PD,0
4240093,Malik Clark,Louisville,defensive,TD,0
4693373,Jordan Turner,Wisconsin,defensive,PD,0
4031140,Clint Ratkovich,Northern Illinois,kickReturns,YDS,37
4373934,Chevan Cordeiro,Hawai'i,passing,ATT,353
4432774,Ty Thompson,Oregon,rushing,CAR,3
4567415,Trent Whittemore,Florida,passing,ATT,4
4259652,Jacob Lichtenstein,USC,defensive,SOLO,11
4689806,Bo Nicolas-Paul,Army,defensive,TOT,6
4363030,Warren Thompson,Arkansas,passing,TD,0
4034963,Rick Wells,Florida,rushing,YDS,10
4433830,Luke Grimm,Kansas,receiving,REC,22
4684966,Amarian Williams,Liberty,defensive,SOLO,1
4035711,Jared Sparks,Louisiana Monroe,passing,INT,0
4241310,Jay Dineen,Kansas,defensive,TFL,0
4686804,CJ Brown,Northern Illinois,defensive,TOT,117
4241924,Bryce Brand,Bowling Green,defensive,PD,0
4569547,Nick Kallerup,Minnesota,defensive,TFL,0
4691736,Gavin Stewart,Georgia Tech,kicking,PTS,0
4240256,D.J. Small,Houston,defensive,PD,1
4241944,Marcus Minor,Pittsburgh,defensive,TOT,1
4240417,Mike Allen,Western Kentucky,defensive,TD,0
4243837,Nate Durham,North Texas,defensive,TFL,0
4361432,Romeo Doubs,Nevada,rushing,YDS,4
4605851,Ben Knox,South Florida,defensive,TOT,1
4428549,Kenney Solomon,Tulsa,kickReturns,LONG,27
4568487,Brendan Farrell,Virginia,kicking,FGA,13
4430089,Michael Mathison,Akron,rushing,TD,0
4258603,Drew White,Notre Dame,defensive,QB HUR,4
4568507,Adrian Cole,Syracuse,defensive,QB HUR,0
4428309,Nick Rattin,Northern Illinois,defensive,SOLO,33
4892110,Jonathan Haynes,Indiana,defensive,TOT,5
4686911,Jakorian Bennett,Maryland,interceptions,YDS,-1
4255986,Champ Flemings,Oregon State,receiving,REC,15
4428952,Jalen Wydermyer,Texas A&M,receiving,YPR,12.9
4691878,Cameron Ball,Arkansas,defensive,PD,0
4597241,Derek Wilkins,California,defensive,QB HUR,0
4362793,Dashaun Jerkins,Vanderbilt,interceptions,TD,0
4361516,Daniel Bellinger,San Diego State,defensive,QB HUR,0
4241411,Malcolm Rodriguez,Oklahoma State,fumbles,FUM,0
4697632,Amir Mujahid,Washington State,fumbles,REC,1
4572387,Jordon Brookshire,San Diego State,passing,TD,3
4695624,Syaire Riley,New Mexico,defensive,QB HUR,1
4603101,Rod Moore,Michigan,defensive,SACKS,0
4572040,George Johnson,Michigan,defensive,SACKS,0
4360649,Dimitri Stanley,Colorado,rushing,CAR,2
4241668,London Harris,Texas State,defensive,TOT,33
4426695,De'jon Benton,USC,defensive,SOLO,1
4429079,Luke Doty,South Carolina,passing,YDS,975
4433821,John Gentry,Utah State,rushing,YDS,235
4427356,Kamal Hadden,Tennessee,interceptions,INT,1
4040716,Shawn Jennings,South Alabama,defensive,PD,1
4569374,Tailon Leitzsey,Illinois,defensive,TFL,0
4360131,Holton Ahlers,East Carolina,punting,In 20,1
4428931,Jamontez Woods,Troy,kickReturns,LONG,14
4875380,Winston Eubanks,Penn State,receiving,REC,1
4880682,Mbiti Williams Jr.,Navy,puntReturns,AVG,0
4689546,Danny Gray,SMU,receiving,YDS,803
4362132,Jalon Ferrell,Connecticut,defensive,PD,2
4432694,JoJo Earle,Alabama,kickReturns,NO,1
4363557,Mikey Haney,Eastern Michigan,defensive,PD,3
4239998,Hunter Johnson,Northwestern,rushing,YDS,-22
4283694,Jovany Ruiz,Buffalo,receiving,YPR,15.6
4430590,Payton Thorne,Michigan State,passing,INT,10
4609049,Carl Richardson,Northwestern,fumbles,LOST,1
4570274,Caden Campolieti,Ohio,defensive,TFL,0
-6544, Team,Maryland,rushing,TD,0
-6952, Team,North Texas,passing,ATT,1
4880129,Josh Bryant,Akron,kickReturns,YDS,0
4036473,Logan Bonner,Utah State,passing,TD,36
4575923,Elijah Jackson,Washington,defensive,SOLO,1
4686376,Duece Mayberry,Kansas,defensive,SACKS,0
4431177,Donovan Johnson,Duke,defensive,SACKS,0
4260206,Jalen Holston,Virginia Tech,kickReturns,NO,1
4247361,Sean-Thomas Faulkner,North Texas,defensive,TFL,3
4427840,Steve Lubischer,Boston College,defensive,SACKS,0
4685969,Booker Ficklin,Arkansas State,defensive,SOLO,1
4686612,Tre Harris,Louisiana Tech,receiving,YPR,14.3
4427647,Jermaine Johnson Jr.,UMass,kickReturns,TD,0
4683501,Emmett Morehead,Boston College,rushing,LONG,11
4372070,Ben VanSumeren,Michigan State,defensive,SACKS,0
4369835,Alontae Taylor,Tennessee,interceptions,AVG,42.5
4876006,Zaire Mitchell-Paden,Florida Atlantic,rushing,CAR,0
4432533,Tre'Vonn Rybka,Kentucky,defensive,TOT,15
4429006,Rakim Jarrett,Maryland,defensive,TOT,1
4427243,Brett Gabbert,Miami (OH),passing,TD,26
4683062,Xavier Worthy,Texas,rushing,TD,0
4429032,Hudson Card,Texas,fumbles,LOST,2
4371948,Elijah Rodgers,Clemson,defensive,SOLO,1
4430675,Andre Washington,Oklahoma State,rushing,LONG,7
4429708,Dywan Griffin,UT San Antonio,defensive,TFL,0
4362285,Tyler Long,Toledo,defensive,SOLO,0
4570453,Randy Jordan,Fresno State,defensive,PD,0
4042110,Jawon Hamilton,Eastern Michigan,rushing,YDS,631
4430616,Asa Turner,Washington,defensive,TOT,34
4044454,Donald Stewart,Wake Forest,defensive,TOT,1
